"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"44","312.1959944814874","93.729397567553","0.017822265625","0.017578125","0.01806640625","2600","0.0001072526382162411","0.0001072526382162411","0","0.0001072526382162411","0.0001072526382162411","44_45:0.0017006961067218551;44_43:0.003224190107344871","44_45:1;44_43:1","44_45:68;44_43:68","true"
"45","361.7103433509426","424.67191448005667","0.00634765625","0.01171875","0.0009765625","2600","0.0002982060683648265","0.0002982060683648265","0","0.0002982060683648265","0.0002982060683648265","45_44:0.0017006961067218551;45_46:0.0018977094852895005;45_37:0.002717780778099421","45_44:1;45_46:0.0013441644684978604;45_37:0.002458180648495595","45_44:68;45_46:68;45_37:68","true"
"46","271.7722481690835","72.2432020151736","0.0146484375","0.02490234375","0.00439453125","2600","0.0002206302375064521","0.0002206302375064521","0","0.0002206302375064521","0.0002206302375064521","46_45:0.0018977094852895005;46_47:0.0027393463645790095","46_45:0.0013441644684978604;46_47:0.0017734973315084168","46_45:68;46_47:68","true"
"47","340.9084350147064","227.50958029274457","0.002197265625","0.00390625","0.00048828125","2600","0.0002439866344813223","0.0002439866344813223","0","0.0002439866344813223","0.0002439866344813223","47_48:0.002666137589798112;47_57:0.005502096729984085;47_46:0.0027393463645790095","47_48:0.002754981830251607;47_57:1;47_46:0.0017734973315084168","47_48:68;47_57:68;47_46:68","true"
"48","257.85404494158536","151.2662333910533","0.0224609375","0.02490234375","0.02001953125","2600","0.0001656225317145906","0.0001656225317145906","0","0.0001656225317145906","0.0001656225317145906","48_47:0.002666137589798112;48_49:0.001605614957168322","48_47:0.002754981830251607;48_49:0.0027949449309054297","48_47:68;48_49:68","true"
"49","218.2308948963507","119.90421972230635","0.004150390625","0.0078125","0.00048828125","2600","0.00017264861202042047","0.00017264861202042047","0","0.00017264861202042047","0.00017264861202042047","49_48:0.001605614957168322;49_50:0.006661935749096681;49_38:0.0025524062401325875","49_48:0.0027949449309054297;49_50:1;49_38:0.0021330878002765175","49_48:68;49_50:68;49_38:68","true"
"50","334.1795007454992","520.9439576431281","0.022705078125","0.04345703125","0.001953125","2600","0.00018119855773458056","0.00018119855773458056","0","0.00018119855773458056","0.00018119855773458056","50_49:0.006661935749096681;50_51:0.006535037175745717","50_49:1;50_51:1","50_49:68;50_51:68","true"
"51","295.28750122919325","178.14224485312766","0.00390625","0.005859375","0.001953125","2600","0.00010092161083253076","0.00010092161083253076","0","0.00010092161083253076","0.00010092161083253076","51_50:0.006535037175745717;51_52:0.0021957660526437106;51_58:0.04477642890557593","51_50:1;51_52:0.0019034303999991842;51_58:0.024504338418862515","51_50:68;51_52:68;51_58:68","true"
"52","189.5127683169759","233.66144420068898","0.00439453125","0.0068359375","0.001953125","2600","0.0001616271870519176","0.0001616271870519176","0","0.0001616271870519176","0.0001616271870519176","52_51:0.0021957660526437106;52_53:0.0019064129118069317","52_51:0.0019034303999991842;52_53:0.0015328556695358986","52_51:68;52_53:68","true"
"53","108.93590760089224","95.12009801794461","0.009033203125","0.01513671875","0.0029296875","2600","0.00007869150956581197","0.00007869150956581197","0","0.00007869150956581197","0.00007869150956581197","53_39:0.001738787317830559;53_52:0.0019064129118069317;53_54:0.0019675386411164286","53_39:0.002608437190519952;53_52:0.0015328556695358986;53_54:0.003326474574945476","53_39:68;53_52:68;53_54:68","true"
"54","176.47410371065183","154.8366287815493","0.0185546875","0.017578125","0.01953125","2600","0.00032510831249765726","0.00032510831249765726","0","0.00032510831249765726","0.00032510831249765726","54_53:0.0019675386411164286;54_55:0.0024971527737977506","54_53:0.003326474574945476;54_55:1","54_53:68;54_55:68","true"
"55","141.2907965059963","78.08108256745868","0.017822265625","0.01806640625","0.017578125","2600","0.00017176682015304065","0.00017176682015304065","0","0.00017176682015304065","0.00017176682015304065","55_59:0.0029443878683987346;55_54:0.0024971527737977506","55_59:0.002071078367904239;55_54:1","55_59:68;55_54:68","true"
"56","169.9810716888747","228.90071249356603","0.003173828125","0.00634765625","0","2600","0.00010896566113486183","0.00010896566113486183","0","0.00010896566113486183","0.00010896566113486183","56_63:0.0021091058891298253;56_43:0.0020583918699288994","56_63:0.0028057598976220788;56_43:0.0032539168462183687","56_63:80;56_43:68","true"
"57","247.3480565975663","314.4580616032388","0.0029296875","0.0048828125","0.0009765625","2600","0.0001982736158499487","0.0001982736158499487","0","0.0001982736158499487","0.0001982736158499487","57_47:0.005502096729984085;57_67:0.0074270444559885185","57_47:1;57_67:0.003137657013576961","57_47:68;57_67:100","true"
"58","94.69521934740848","101.64426074735094","0.0712890625","0.10791015625","0.03466796875","2600","0.013101147988127669","0.013101147988127669","0","0.013101147988127669","0.013101147988127669","58_71:0.03479030125973509;58_51:0.04477642890557593","58_71:0.02199631803127461;58_51:0.024504338418862515","58_71:68;58_51:68","true"
"59","230.2223206349429","67.59422684219149","0.04150390625","0.02783203125","0.05517578125","2600","0.0003576788370846206","0.0003576788370846206","0","0.0003576788370846206","0.0003576788370846206","59_55:0.0029443878683987346;59_75:0.0024507304065017332","59_55:0.002071078367904239;59_75:0.00218268339892555","59_55:68;59_75:68","true"
"60","149.88813289248492","102.13342266086846","0.015869140625","0.0185546875","0.01318359375","2600","0.00017424164447806158","0.00017424164447806158","0","0.00017424164447806158","0.00017424164447806158","60_61:0.001953447672351727","60_61:0.001762425165824505","60_61:68","true"
"61","271.5864757247119","303.11210339056294","0.00439453125","0.00830078125","0.00048828125","2600","0.00009457729421484105","0.00009457729421484105","0","0.00009457729421484105","0.00009457729421484105","61_76:0.00397962599067081;61_60:0.001953447672351727;61_62:0.0018451194833290496","61_76:0.004687858917167637;61_60:0.001762425165824505;61_62:1","61_76:68;61_60:68;61_62:68","true"
"62","128.70892402250843","117.93207074525742","0.00634765625","0.01171875","0.0009765625","2600","0.00017950216492322474","0.00017950216492322474","0","0.00017950216492322474","0.00017950216492322474","62_61:0.0018451194833290496;62_63:0.002031103390032485","62_61:1;62_63:0.0025173617606437937","62_61:68;62_63:68","true"
"63","272.0525991984938","222.18341283634808","0.004150390625","0.00537109375","0.0029296875","2600","0.0001226399739251568","0.0001226399739251568","0","0.0001226399739251568","0.0001226399739251568","63_56:0.0021091058891298253;63_62:0.002031103390032485;63_64:0.002141181888268784","63_56:0.0028057598976220788;63_62:0.0025173617606437937;63_64:0.0017921876365270262","63_56:80;63_62:68;63_64:68","true"
"64","189.3683449958238","193.6625971732983","0.001953125","0.00341796875","0.00048828125","2600","0.0001472942915692702","0.0001472942915692702","0","0.0001472942915692702","0.0001472942915692702","64_65:0.0017980339841392468;64_63:0.002141181888268784","64_65:0.0022047533434057243;64_63:0.0017921876365270262","64_65:68;64_63:68","true"
"65","162.41737305481053","152.5694112893559","0.04345703125","0.03759765625","0.04931640625","2600","0.00012932718919820825","0.00012932718919820825","0","0.00012932718919820825","0.00012932718919820825","65_64:0.0017980339841392468;65_66:0.00232663679951034;65_77:0.002025376964541581","65_64:0.0022047533434057243;65_66:0.0029302941554439355;65_77:1","65_64:68;65_66:68;65_77:68","true"
"66","129.99649244476433","127.32294780270297","0.00927734375","0.01220703125","0.00634765625","2600","0.0004095687760956256","0.0004095687760956256","0","0.0004095687760956256","0.0004095687760956256","66_65:0.00232663679951034;66_67:0.006227616296088867","66_65:0.0029302941554439355;66_67:0.0033602669556223874","66_65:68;66_67:68","true"
"67","228.47808920362888","277.3412563920902","0.0078125","0.01025390625","0.00537109375","2600","0.00014176071331736988","0.00014176071331736988","0","0.00014176071331736988","0.00014176071331736988","67_68:0.013170843416918154;67_57:0.0074270444559885185;67_66:0.006227616296088867","67_68:0.004298852019234828;67_57:0.003137657013576961;67_66:0.0033602669556223874","67_68:68;67_57:100;67_66:68","true"
"68","166.2183088999813","142.48995443063953","0.0302734375","0.0244140625","0.0361328125","2600","0.0003995411508515484","0.0003995411508515484","0","0.0003995411508515484","0.0003995411508515484","68_67:0.013170843416918154;68_69:0.00455899460708975","68_67:0.004298852019234828;68_69:0.0023717171715766094","68_67:68;68_69:68","true"
"69","123.6269055644293","181.73677088996564","0.005126953125","0.01025390625","0","2600","0.00019292496356848067","0.00019292496356848067","0","0.00019292496356848067","0.00019292496356848067","69_78:0.0023972321979857103;69_68:0.00455899460708975;69_70:0.0031202654150387366","69_78:0.0023223664154385093;69_68:0.0023717171715766094;69_70:1","69_78:68;69_68:68;69_70:68","true"
"70","144.4706595029329","73.70784707659132","0.004150390625","0.00830078125","0","2600","0.0002807737485253974","0.0002807737485253974","0","0.0002807737485253974","0.0002807737485253974","70_69:0.0031202654150387366;70_71:0.031027456140461207","70_69:1;70_71:0.24993102659818103","70_69:68;70_71:88","true"
"71","227.6924194975429","170.33678375741795","0.00390625","0.0068359375","0.0009765625","2600","0.00038686796190657544","0.00038686796190657544","0","0.00038686796190657544","0.00038686796190657544","71_72:0.005236823912183386;71_58:0.03479030125973509;71_70:0.031027456140461207","71_72:0.007534210010413933;71_58:0.02199631803127461;71_70:0.24993102659818103","71_72:68;71_58:68;71_70:88","true"
"72","321.7060617535118","424.951742945543","0.021240234375","0.02294921875","0.01953125","2600","0.0002659826377756266","0.0002659826377756266","0","0.0002659826377756266","0.0002659826377756266","72_73:0.02265829035279704;72_71:0.005236823912183386","72_73:0.24982198445022366;72_71:0.007534210010413933","72_73:80;72_71:68","true"
"73","281.5430403384944","237.62651567962627","0.066650390625","0.05322265625","0.080078125","2600","0.00007737683877089486","0.00007737683877089486","0","0.00007737683877089486","0.00007737683877089486","73_72:0.02265829035279704;73_74:0.001950988190089653;73_79:0.0018771367494790359","73_72:0.24982198445022366;73_74:1;73_79:0.0027064323686803726","73_72:80;73_74:68;73_79:68","true"
"74","320.63807240937143","249.1717729448092","0.026611328125","0.0361328125","0.01708984375","2600","0.000266490667158265","0.000266490667158265","0","0.000266490667158265","0.000266490667158265","74_73:0.001950988190089653;74_75:0.01000725663728591","74_73:1;74_75:0.0069650148846446824","74_73:68;74_75:76","true"
"75","340.9685753315181","340.9541973085958","0.02197265625","0.0234375","0.0205078125","2600","0.0002134436998659936","0.0002134436998659936","0","0.0002134436998659936","0.0002134436998659936","75_59:0.0024507304065017332;75_74:0.01000725663728591","75_59:0.00218268339892555;75_74:0.0069650148846446824","75_59:68;75_74:76","true"
"76","23.423637838141637","41.804663097580445","0.019287109375","0.03173828125","0.0068359375","2600","0.00046742638963556275","0.00046742638963556275","0","0.00046742638963556275","0.00046742638963556275","76_81:0.004744683252945137;76_61:0.00397962599067081","76_81:0.006219882313949515;76_61:0.004687858917167637","76_81:68;76_61:68","true"
"77","90.30991140891273","72.71611037105663","0.067138671875","0.06396484375","0.0703125","2600","0.00015228341090417494","0.00015228341090417494","0","0.00015228341090417494","0.00015228341090417494","77_85:0.005071784689435033;77_65:0.002025376964541581","77_85:0.0033119464195756065;77_65:1","77_85:68;77_65:68","true"
"78","231.99965309308106","228.48737249587495","0.00537109375","0.00927734375","0.00146484375","2600","0.0002077206406578379","0.0002077206406578379","0","0.0002077206406578379","0.0002077206406578379","78_69:0.0023972321979857103;78_89:0.0018388401129904586","78_69:0.0023223664154385093;78_89:0.0023463370746070744","78_69:68;78_89:68","true"
"79","200.58346114753158","352.3525451116975","0.013916015625","0.01904296875","0.0087890625","2600","0.00014089314048685962","0.00014089314048685962","0","0.00014089314048685962","0.00014089314048685962","79_93:0.0018675372147778924;79_73:0.0018771367494790359","79_93:0.0033881216934050773;79_73:0.0027064323686803726","79_93:68;79_73:68","true"
"80","175.6103309598764","129.95031296445916","0.004638671875","0.0068359375","0.00244140625","2600","0.0001931923662049137","0.0001931923662049137","0","0.0001931923662049137","0.0001931923662049137","80_81:0.0027608582711087237","80_81:0.002582538379659105","80_81:68","true"
"81","168.64077076608396","135.34108926769457","0.00390625","0.00732421875","0.00048828125","2600","0.000525907753187137","0.000525907753187137","0","0.000525907753187137","0.000525907753187137","81_80:0.0027608582711087237;81_82:0.0031037307703786765;81_76:0.004744683252945137","81_80:0.002582538379659105;81_82:0.002373848987574312;81_76:0.006219882313949515","81_80:68;81_82:68;81_76:68","true"
"82","134.6534038647297","162.29319511948356","0.00390625","0.00634765625","0.00146484375","2600","0.0002964022702376646","0.0002964022702376646","0","0.0002964022702376646","0.0002964022702376646","82_81:0.0031037307703786765;82_83:0.002957224295176031","82_81:0.002373848987574312;82_83:1","82_81:68;82_83:68","true"
"83","322.6951195160856","285.9996302110513","0.01171875","0.01025390625","0.01318359375","2600","0.0001300134868817447","0.0001300134868817447","0","0.0001300134868817447","0.0001300134868817447","83_96:0.0029255312266350253;83_82:0.002957224295176031;83_84:0.0022184219862519394","83_96:1;83_82:1;83_84:0.003100510240854365","83_96:68;83_82:68;83_84:68","true"
"84","293.99456197986984","421.74853934046484","0.013671875","0.01318359375","0.01416015625","2600","0.00016060043763081662","0.00016060043763081662","0","0.00016060043763081662","0.00016060043763081662","84_83:0.0022184219862519394;84_85:0.005510018130034489","84_83:0.003100510240854365;84_85:0.007595820124960712","84_83:68;84_85:68","true"
"85","299.7987583796034","325.77141922392974","0.00439453125","0.00537109375","0.00341796875","2600","0.0000976110257353372","0.0000976110257353372","0","0.0000976110257353372","0.0000976110257353372","85_77:0.005071784689435033;85_86:0.013368440244093727;85_84:0.005510018130034489","85_77:0.0033119464195756065;85_86:1;85_84:0.007595820124960712","85_77:68;85_86:68;85_84:68","true"
"86","199.76322615683324","198.64887992602314","0.007080078125","0.00830078125","0.005859375","2600","0.0003744709376727776","0.0003744709376727776","0","0.0003744709376727776","0.0003744709376727776","86_85:0.013368440244093727;86_87:0.01257269499425967","86_85:1;86_87:1","86_85:68;86_87:168","true"
